class,method,n,CL_mean,CL_std,mean_mean,mean_std,std_mean,std_std,entropy_mean,entropy_std,renyi2_mean,renyi2_std,rms_contrast_mean,rms_contrast_std,robust_michelson_mean,robust_michelson_std,avg_gradient_mean,avg_gradient_std,tenengrad_mean,tenengrad_std,edge_density_mean,edge_density_std,edge_density_delta_pp_mean,edge_density_delta_pp_std,local_contrast_mean,local_contrast_std,local_std_mean_mean,local_std_mean_std,laplacian_var_mean,laplacian_var_std,high_freq_ratio_mean,high_freq_ratio_std,rms_contrast_gain_mean,rms_contrast_gain_std,robust_michelson_gain_mean,robust_michelson_gain_std,avg_gradient_gain_mean,avg_gradient_gain_std,tenengrad_gain_mean,tenengrad_gain_std,local_std_gain_mean,local_std_gain_std,laplacian_var_gain_mean,laplacian_var_gain_std,high_freq_ratio_gain_mean,high_freq_ratio_gain_std,mae_vs_input_mean,mae_vs_input_std,rmse_vs_input_mean,rmse_vs_input_std,psnr_vs_input_db_mean,psnr_vs_input_db_std,ssim_vs_input_global_mean,ssim_vs_input_global_std,Q_BRISQUE_mean,Q_BRISQUE_std,Q_NIQE_mean,Q_NIQE_std
inclusion,Proposed DT-QAT Student,12,3.9539759696222716,0.43413031993295315,123.71942291666667,10.536522353593682,22.088196290712308,1.3039336323630346,6.455538709958394,0.11456747664840722,6.1921746996992555,0.13230104218152045,0.0866203776106365,0.005113465224953078,0.28055727899866023,0.029602892956144777,8.612092932065329,0.6110408313004514,5221.773457845052,793.7379565282674,0.27206874999999997,0.05261220814623472,26.779791666666668,5.103771829193552,0.06758702142784993,0.002709725548289569,12.468340078989664,1.1546556850331404,548.5855765164583,57.559751974370386,0.0031821594651167593,0.000285283507187819,1.7985404769796665,0.315245826187942,1.6418718831321835,0.2057878685314004,4.213840982846633,0.41994108290431104,13.887089509045024,4.156640693907137,3.9715373711131643,0.4272647610039782,18.627903435308294,3.4283632693533908,12.432125135119682,1.953613425601276,17.957745833333334,2.2968520174071783,21.995298604291555,2.1355204112729957,21.318539566725956,0.7897064120416212,0.6929850927810028,0.039621788314651796,nan,nan,nan,nan
patches,Input,12,nan,nan,132.62424166666668,27.641097519245633,53.69215553044115,6.809693887695306,7.554095983505249,0.08965794581636302,7.336874348919011,0.12989791887905275,0.21055747266839667,0.026704681912530615,0.6681159369579862,0.0871210418427672,13.296042283376059,1.9646762084082237,9111.299845377604,2614.697848994183,0.31444375,0.04630381650896019,0.0,0.0,0.09941063014169534,0.015407361731751942,17.295481125513714,2.8814356482455965,1830.6830024711978,447.40424215960064,0.0057950717164203525,0.0006845522617159758,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan
patches,Global HE,12,nan,nan,128.28873541666667,0.0783625000604241,73.64589566600118,0.2254043727887493,7.390093406041463,0.12890379722510883,7.258117918579232,0.14047576721465233,0.28880743398431835,0.0008839387168186209,0.8953208477774875,0.003934705047118248,19.40497914950053,4.195773349812307,20334.461466471355,8514.518533870028,0.3358479166666667,0.010739749120637887,2.1404166666666664,4.92769225367917,0.1913175731897354,0.018370642038650832,24.97333598136902,4.842850158523767,4333.177902676146,2030.31300029753,0.012703987730977436,0.0058323991464632585,1.3924016232042464,0.17956762632183215,1.3587822685070219,0.1576796558978279,1.456091034764726,0.2109868843750755,2.2462618701866925,0.8078693142774391,1.449372211820179,0.20540403636420257,2.3239584909831206,0.8829537452487102,2.2899676990317346,1.1803524052240795,29.629677083333334,9.625876567094473,34.62822417107599,10.553769744815876,17.797910497642743,3.101904066723284,0.9057406368898699,0.045902522997505545,nan,nan,nan,nan
patches,Fixed CLAHE (CL=2.0),12,2.0,0.0,131.25810625,17.28859247758582,54.50257376557427,5.750347860511272,7.6689006090164185,0.06991135276023178,7.49015610565279,0.08910375983759303,0.2137355833944089,0.022550383766710865,0.6637557638116166,0.05582576151903276,24.03449598948161,2.8838651544453504,27471.636881510418,6118.250912778256,0.3790895833333333,0.0056882500337950784,6.464583333333333,4.332392373070844,0.1757166807850202,0.009316451987177985,29.79914903640747,3.440628478244197,5981.620789818073,1315.047013752944,0.019020585576072335,0.002852202761242354,1.019444061235261,0.06477195243452208,0.9995365107763938,0.06749893094625783,1.820089087268687,0.1396422084760051,3.114399724089519,0.5145135977715568,1.7418143541367015,0.15027671413541405,3.32506347794713,0.46373088741654156,3.310372100197396,0.536459204426048,19.785627083333335,2.9028984832259845,25.005735308843548,3.035177768774018,20.231164152080733,1.08811154155157,0.904681070724299,0.026022968627796062,nan,nan,nan,nan
patches,Fixed CLAHE (CL=4.0),12,4.0,0.0,129.57760625,9.665426966455122,60.68838865361485,3.4763029720769683,7.814410487810771,0.02996319097891782,7.661901164299536,0.09888734864476117,0.23799368099456802,0.013632560674811639,0.7353926976858086,0.026906917487559388,33.4881542523702,4.121703054258252,52719.013020833336,11988.525856359705,0.3833875,0.00477551163370338,6.894375,4.7489658114592785,0.25620122253894806,0.015159414751767108,40.724067052205406,4.33312480336816,12096.454010208698,2828.038021403204,0.037356721237301826,0.006933344063267808,1.143698066520767,0.12707186816048646,1.1140931256808744,0.11837197158239764,2.5481912601830805,0.32618150365263565,6.111160197621121,1.6179654592030117,2.398824887005203,0.34701243759244327,6.807682136121919,1.5075567259530982,6.544101920415807,1.5023297883646287,34.472147916666664,5.05595870139044,43.57235981315463,5.356996688748227,15.408310990510895,1.0886749726049332,0.7459178267755376,0.06573822496487937,nan,nan,nan,nan
patches,Rule-based Adaptive CLAHE,12,6.771049276970955,0.8232235948018785,129.708925,4.842840082862723,63.92379907945715,2.459981307630759,7.884971459706624,0.03622169306747286,7.7479767354188445,0.13319901950575527,0.250681565017479,0.009646985520120624,0.7987685214011302,0.01344202735137962,38.46524620056152,4.59715519843194,68896.70149739583,14844.457880108313,0.38286875,0.004224147641294572,6.8425,4.74656969438313,0.3075612435738246,0.03044217531579186,46.39376990000407,4.481754101913621,16277.534944768802,3698.239781158098,0.04917366181810697,0.011265938097851362,1.209364151430129,0.16669199055286385,1.212734151246178,0.1465710745166474,2.9509778601289383,0.542594222066319,8.245489007559135,3.012770015007124,2.759420376160188,0.5525984117580459,9.396823113320796,3.0038045030863882,8.59836959089473,2.2226065385998,42.777816666666666,8.062021826527234,53.88272352576742,8.760610270090298,13.608428994321287,1.428884292336181,0.6367406237076569,0.10719486520014367,nan,nan,nan,nan
patches,Adaptive Gamma Correction,12,0.925,0.13568010505999364,139.55951666666667,17.153730659745225,53.1146112455957,6.778692746926783,7.518884062767029,0.11403724451395031,7.308574042978241,0.1431557176110609,0.20829259311998313,0.02658310881147758,0.6309528776509955,0.04255495171055598,13.191492398579916,2.127551073593313,8886.15966796875,2943.0563755238236,0.32205,0.03331731565908743,0.760625,1.5649938734268694,0.0904272769888242,0.00702406872876049,17.171312252680462,3.04543799264345,1777.9484603471353,531.7758093338915,0.005047394544817507,0.000882792614058656,0.9894731202372079,0.022905493776533434,0.9530285480185713,0.085818219644448,0.9901148863416296,0.02055085083675909,0.9605394226638285,0.07291396026150603,0.9910934383297682,0.020077746064309003,0.9556927723028376,0.08056860833882624,0.8887406645817317,0.20155842600051918,6.935275,12.565990212623516,7.0825253836074955,12.828999855748219,19.09426077694754,0.4706670258157411,0.9900587746895029,0.018003731870379937,nan,nan,nan,nan
patches,MSR Retinex,12,nan,nan,191.10896041666666,16.852804763577385,34.37834561790086,7.360323455424865,6.834912737210591,0.45111296421336355,6.548172587648241,0.5092304075934255,0.1348170416388269,0.028864013550685744,0.32280320493318987,0.09807755431548504,9.968806823094686,2.4803734618435054,5275.624593098958,2027.057008055474,0.24965416666666668,0.11107267370823919,-6.478958333333333,10.336806888841302,0.05164733420436581,0.016516205398961075,12.910794734954834,3.1918685448571296,1031.0740422915626,425.2949515052573,0.0019006390939466655,0.0009116980613623685,0.6483023091786657,0.16530826859850833,0.4972156261985142,0.18373014923967335,0.7572374570354531,0.1820355006556487,0.6019690176092256,0.22283268155738742,0.7542163198503684,0.17529386440164144,0.5805619656325482,0.23450243559691672,0.3308009227292962,0.1622508153815919,59.71433541666667,30.734298783213642,64.16879531294042,31.33150595868678,12.916135613669425,4.233942979370488,0.7674539079336719,0.15997724062290838,nan,nan,nan,nan
patches,Proposed DT-QAT Student,12,4.166729578619294,3.6340437792055615,123.78527083333333,16.14608562126392,59.55352844112045,7.914739181314806,7.749616305033366,0.16229721998305197,7.56993597494586,0.19681459585598493,0.23354324878870764,0.0310381928679012,0.7528248551979112,0.06587366564938739,28.890334129333496,11.97165485556737,45001.90100097656,29702.45600992409,0.3619354166666667,0.03275572201632267,4.749166666666666,1.9453748567649722,0.23051105005045733,0.08118402781721891,35.34535304705302,14.06065676784259,10301.01509349422,7059.480683547805,0.031185769320776064,0.018929640239132267,1.114130442615849,0.12996739995337217,1.1400187779060782,0.15276729855981405,2.0974196056821666,0.6627642397275731,4.483416172540966,2.540382900922207,1.982496028709062,0.6083792954496268,5.081720533730684,2.9633217707249457,5.712306116089281,3.822356698191061,26.31427083333333,15.654820160097051,33.543731878088884,20.168413468703985,20.009407990419028,7.684832150988286,0.8172683240367231,0.14788731724767318,nan,nan,nan,nan
pitted_surface,Input,12,nan,nan,153.27423333333334,32.8707620363591,30.86410289085822,5.222653631462014,6.838658094406128,0.23754707782820841,6.691352680610846,0.2784595048802829,0.1210356976112087,0.020480994633184365,0.32481272497587715,0.0671095257554405,4.607426544030507,1.709965761256297,1906.3121897379558,1167.2589275929843,0.08231875,0.07903820359700053,0.0,0.0,0.027941972017288208,0.007022844335132054,6.592942913373311,2.263354923718658,162.62387446333332,100.50896588771819,0.0006681896993541159,0.0002678997195474887,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan
pitted_surface,Global HE,12,nan,nan,128.75383125,0.2601780347895107,73.49906571163137,0.2390020650630074,6.7799034516016645,0.23679159876700367,6.674839401100389,0.2754052642408596,0.2882316302416916,0.0009372630002470782,0.8942103542003378,0.00574987044610879,11.168087442715963,4.764642790877149,12496.469360351562,9873.281391206978,0.2468375,0.09070325461485532,16.451875,4.4294130697018375,0.12532436847686768,0.04790169384822322,16.07716504732768,6.478459518067095,1085.9672810753646,864.258623016281,0.005430890756542794,0.004368026161676869,2.4493171351323344,0.4453254235220669,2.8936973131126984,0.7652474845316773,2.416811304143694,0.4479111130342631,6.248733544432481,2.744780007441664,2.429389683340344,0.45629152702758186,6.411006640923419,2.790735328064041,7.906895100533973,6.528734542660142,47.571452083333334,13.0159535611349,57.08332792375947,16.24483513104314,13.31390009011424,2.426342320838827,0.6781868528573255,0.1000726437267205,nan,nan,nan,nan
pitted_surface,Fixed CLAHE (CL=2.0),12,2.0,0.0,156.05144583333333,29.041997923690445,32.68603447311085,4.64761833034412,6.95687210559845,0.204404991874517,6.794861936741912,0.26057920465062856,0.12818052734553276,0.018225954236643603,0.3370947077887912,0.06435410579136336,10.288380901018778,3.43267937651597,9134.646179199219,5019.719424807484,0.2681854166666667,0.09854123874754932,18.586666666666666,4.54197110461433,0.06207633391022682,0.014303386324179355,14.461222728093466,4.635842914973795,791.9750432266146,432.47684654369885,0.00316470359878925,0.0011067901467581669,1.0650751115225219,0.06124165680638909,1.0424355295894545,0.03889669903381598,2.264921021211943,0.09604219048050223,5.014275860562717,0.41186364331947095,2.2101942278061784,0.06830137636278455,5.127229409886104,0.4704058644345206,4.845340501586845,0.3341156481583521,9.695654166666667,2.8577933389328978,12.387464521286796,3.594135663022732,26.640579431103138,2.7176346380957788,0.928016575296382,0.046792716344777344,nan,nan,nan,nan
pitted_surface,Fixed CLAHE (CL=4.0),12,4.0,0.0,145.60521458333335,18.05491776473071,36.154737623093304,4.811671578357953,7.162342349688212,0.20546621494022205,6.996593481455632,0.2362650704698828,0.1417832847964443,0.01886930030728609,0.40186055475504096,0.04207054511787143,17.575753211975098,6.093988939029762,26804.281494140625,15389.198173693647,0.32957708333333335,0.0634040653793492,24.725833333333334,4.686416581865922,0.1169154675056537,0.034477725525225426,24.601297616958618,8.21526282452535,2362.2969605982817,1362.1112946537219,0.010685923897350827,0.00484972235843312,1.197998546353074,0.22792108774151026,1.293025928676878,0.3198021194852774,3.850281070528937,0.11380912644462846,14.410350520958136,0.6852936927149924,3.742071873394227,0.09144164918572369,14.940100618411858,0.7805587127152822,15.796028943313638,2.378601025575018,23.24023125,6.699662757371762,29.41062058253131,8.450799254318175,19.11048943439729,2.619614345852591,0.7221612385121133,0.09834471277400512,nan,nan,nan,nan
pitted_surface,Rule-based Adaptive CLAHE,12,8.07486675935871,0.876812070618969,140.56568541666667,10.39887411345825,49.04303565987748,8.230556444113944,7.574519515037537,0.2367576791357971,7.422889199196633,0.3057651435960531,0.19232563003873523,0.03227669193770174,0.5766408540510628,0.10641167943815011,28.078073501586914,7.715701096331114,65223.958984375,30418.44975752367,0.37551875,0.00972011226202474,29.32,7.310824710971086,0.21056178150077662,0.061000233886927296,39.30986817677816,10.454622551614154,5952.058228286927,2761.632508892686,0.027932036978503067,0.011397428809775534,1.6391699651311813,0.40924102173957233,1.8902654346873289,0.6611442043549447,6.3414760473881335,0.819535416962651,38.451710994184786,8.775284441967768,6.143133938069223,0.7079657340708667,41.41525140522447,10.056433417866428,42.07539443035058,5.727623506445269,39.685802083333336,10.383819037063574,50.278089890302994,13.020784953266578,14.384909307434603,2.3454562789196354,0.440479355064878,0.1209313308435533,nan,nan,nan,nan
pitted_surface,Adaptive Gamma Correction,12,1.075,0.21373305355470448,150.966275,23.947816794887114,32.32254520686045,5.329913320477191,6.828671455383301,0.25902830456947284,6.683294109864888,0.2952216302324662,0.12675507924259,0.020901620864616437,0.3391664682680915,0.05506838394453071,4.985489288965861,2.2538335756364645,2332.5684763590493,1782.6433327738835,0.10399166666666666,0.10665445443822377,2.1672916666666664,4.055258575201145,0.03061679828291138,0.011611225899110912,7.1026904582977295,2.96288593069956,201.1327495640625,159.2515573679852,0.0008370033210667316,0.0005504784739880524,1.0529164006906195,0.11666293632700542,1.0714394563266882,0.20169211678773688,1.0553462835921008,0.12052982565913023,1.1272518683280413,0.28007956706352755,1.054817312661473,0.11946801320073316,1.130558276603738,0.2816344601998903,1.188599506695042,0.47217102221238527,7.574841666666667,11.658004546966145,7.852114620858153,11.98889619519536,20.875463633463507,2.050914977081884,0.9893628630310464,0.016044222253637202,nan,nan,nan,nan
pitted_surface,MSR Retinex,12,nan,nan,143.69084583333333,22.088818015289874,45.535296504620284,6.539050228588525,7.4507984320322675,0.15759468261817294,7.284660874213833,0.20566359792744152,0.1785697902141972,0.02564333422975892,0.5296883504582147,0.10626557415708651,10.920694271723429,3.1728935921893084,9843.60312906901,5356.849591065895,0.29488749999999997,0.07399472915810841,21.256875,4.270741782093386,0.08088861964643002,0.015308909748280239,15.465564330418905,4.2214818713146345,848.4163337590625,463.6999461723125,0.0039054169319570065,0.0015568973064032212,1.496064071513235,0.2131442216800195,1.657997562274252,0.2809121470137054,2.4753115489220736,0.4268627518549897,5.726147067010853,1.7891548819823357,2.4300233154282127,0.3964079323138618,5.877134173556744,1.9395784996897725,6.107693186710414,2.062071430995816,18.342691666666667,8.086484488802999,22.719464776649307,8.418464787440309,21.47505580260131,2.916877771724923,0.894489857953868,0.04671266412399623,nan,nan,nan,nan
pitted_surface,Proposed DT-QAT Student,12,3.601437875306888,2.5807992680954723,141.47048958333332,18.421513606411075,39.2053119511994,11.146693673137191,7.186749498049418,0.444161167378547,7.04269774667857,0.48803703828014994,0.15374632137725255,0.04371252420838115,0.4421821832565307,0.11704097083197985,17.97044251362483,13.011511385853533,35749.091313680015,37838.112060633466,0.2610854166666667,0.15388799552180701,17.87666666666667,11.001487984758603,0.1238587888268133,0.0923689045583851,24.933202425638836,17.53259124100791,3270.662034925052,3558.174379822013,0.01409720903999793,0.015231416645836935,1.2984764878998134,0.42363236046940106,1.4730186684246747,0.6568220701835035,3.4275386892015334,1.6751036239936565,13.973350152778504,11.046502120276301,3.364557954523308,1.6629992858825247,14.620211907598945,11.66883086550933,18.119075644330323,16.237958564343423,23.470022916666665,17.983725954148536,29.654743074124617,23.001739822519944,22.199977148993742,9.020777315274204,0.7216464526529233,0.2556369527751112,nan,nan,nan,nan
rolled-in_scale,Input,12,nan,nan,140.62817083333331,9.962614592992331,19.100204992191053,2.7204338409293625,6.26913324991862,0.18991297053544345,6.0543487328445025,0.20946636356842377,0.07490276467525903,0.01066836800364456,0.21684849809734963,0.016303052734615093,8.561737815539042,1.0323635590806546,3008.2157999674478,912.1787574950062,0.14945833333333333,0.0676921820829519,0.0,0.0,0.051162610140939556,0.0032232040875730976,10.024019400278727,1.3790607780067141,779.8336859078125,175.0377386643151,0.0022075799837087593,0.0002569811409768549,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan
