image,config,CL,Q_BRISQUE,Q_NIQE
046.png,w/o QAT (post-quant),1.527735390944116,27.7655029296875,4.253013301075107
046.png,Full (DT--QAT),1.8223773676115373,26.777099609375,4.172422444543822
047.png,w/o Rich teacher,7.31154410278109,22.19927978515625,3.232479207414346
047.png,w/o trajectory selection,6.1308776974463814,21.38604736328125,3.212193339134652
047.png,w/o QAT (post-quant),9.751170546468119,22.9630126953125,3.2268951848005227
047.png,Full (DT--QAT),6.617332084553264,21.68310546875,3.2228610416920516
048.png,w/o Rich teacher,6.820402684487849,21.53759765625,3.4175686941277603
048.png,w/o trajectory selection,5.431824743148977,21.5587158203125,3.416110470621049
048.png,w/o QAT (post-quant),9.612998786808854,21.75640869140625,3.4091665155612993
048.png,Full (DT--QAT),6.297110320731718,21.4432373046875,3.4111656209839754
049.png,w/o Rich teacher,0.1,38.21966552734375,4.410047979399331
049.png,w/o trajectory selection,0.1,38.21966552734375,4.410047979399331
049.png,w/o QAT (post-quant),0.1,38.21966552734375,4.410047979399331
049.png,Full (DT--QAT),2.0347068248004927,25.57086181640625,3.5881545301173356
050.png,w/o Rich teacher,4.519517718737638,32.55194091796875,3.454116885289351
050.png,w/o trajectory selection,5.3649977470006025,32.36834716796875,3.3874196788385422
050.png,w/o QAT (post-quant),6.722621556158554,31.99310302734375,3.315141547327309
050.png,Full (DT--QAT),5.253270910461001,32.36248779296875,3.386251549888463
1.png,w/o Rich teacher,0.4466998053366258,16.01263427734375,7.045114062207733
1.png,w/o trajectory selection,0.6670331670750514,16.20672607421875,6.822703011050778
1.png,w/o QAT (post-quant),1.300422892208525,18.4656982421875,7.506728505744165
1.png,Full (DT--QAT),0.8871881997478198,16.030517578125,6.925384554367351
10.png,w/o Rich teacher,1.4437285663036734,16.59332275390625,3.7278841456977525
10.png,w/o trajectory selection,1.353030028580097,17.26641845703125,3.7748164764760417
10.png,w/o QAT (post-quant),1.7467082458079466,12.248291015625,3.584708157300924
10.png,Full (DT--QAT),1.466275670053967,16.33270263671875,3.70877456721584
101.png,w/o Rich teacher,0.1,33.9725341796875,3.849565673224381
101.png,w/o trajectory selection,0.1,33.9725341796875,3.849565673224381
101.png,w/o QAT (post-quant),0.1,33.9725341796875,3.849565673224381
101.png,Full (DT--QAT),0.1,33.9725341796875,3.849565673224381
102.png,w/o Rich teacher,0.1,37.498291015625,4.184136116287399
102.png,w/o trajectory selection,0.1,37.498291015625,4.184136116287399
102.png,w/o QAT (post-quant),0.1,37.498291015625,4.184136116287399
102.png,Full (DT--QAT),1.1251801009663696,34.136474609375,3.778317851125632
103.png,w/o Rich teacher,0.1,36.468994140625,4.181814951748269
103.png,w/o trajectory selection,0.1,36.468994140625,4.181814951748269
103.png,w/o QAT (post-quant),0.1,36.468994140625,4.181814951748269
103.png,Full (DT--QAT),0.1,36.468994140625,4.181814951748269
104.png,w/o Rich teacher,1.3366032064773714,31.50250244140625,3.6442733466457486
