scene,method,n,Q_BRISQUE_mean,Q_BRISQUE_std,Q_NIQE_mean,Q_NIQE_std
正常街道10,Input,10,30.260479736328126,9.083530121771519,3.353380173867586,1.0558612517716797
正常街道10,Global HE,10,30.805548095703124,7.712648533652011,3.438545304430349,0.46286108313040747
正常街道10,Fixed CLAHE (CL=2.0),10,28.31024169921875,7.838887357693102,3.0906613050607357,0.7129670531835098
正常街道10,Rule-based Adaptive CLAHE,10,30.229522705078125,5.982827166680638,3.226287405276228,0.2600081569652732
正常街道10,Adaptive Gamma Correction,10,29.772869873046876,9.506337939949567,3.3439078200194645,1.1443347032115851
正常街道10,MSR Retinex,10,27.27115478515625,8.56188273637496,3.3908568855248924,1.0600152238261338
正常街道10,SAC Single-Teacher,10,29.26334228515625,8.791544481248748,3.220526533026451,0.9955725137461199
正常街道10,Proposed: Dual-Teacher Distill + QAT Student,10,28.1527587890625,7.791006030755797,3.0858538572453273,0.8280804175631816
过曝5,Input,5,25.7171630859375,4.291906224671264,3.1038579068818235,0.2072610375606798
过曝5,Global HE,5,27.0897216796875,3.1809827807680717,3.21167375986387,0.12174446237124438
过曝5,Fixed CLAHE (CL=2.0),5,23.26748046875,1.5611363090314667,3.0077596560735778,0.14568948467472573
过曝5,Rule-based Adaptive CLAHE,5,27.181884765625,1.403838213400793,3.0978109210267997,0.18572270613982916
过曝5,Adaptive Gamma Correction,5,25.7171630859375,4.291906224671264,3.1038579068818235,0.2072610375606798
过曝5,MSR Retinex,5,29.892919921875,5.660990069262655,3.7376360169147302,0.15427186838214813
过曝5,SAC Single-Teacher,5,29.33800048828125,1.559046553086527,3.2147705865432927,0.2366252594445693
过曝5,Proposed: Dual-Teacher Distill + QAT Student,5,28.92796630859375,1.2304508332053126,3.1965003041871074,0.24113790681748512
雾霾7,Input,7,36.67138671875,6.0815447970274885,4.624115674819431,0.4330136624429762
雾霾7,Global HE,7,24.492239815848215,5.401078782138225,3.8287712531796623,0.43741402842417554
雾霾7,Fixed CLAHE (CL=2.0),7,25.573259626116073,2.9304389366557584,3.7747859323830872,0.3365100146046748
雾霾7,Rule-based Adaptive CLAHE,7,22.934029715401785,4.002694726092299,3.159633187530466,0.3176426895662095
雾霾7,Adaptive Gamma Correction,7,36.67138671875,6.0815447970274885,4.624115674819431,0.4330136624429762
雾霾7,MSR Retinex,7,30.156790597098215,4.06637865586505,4.442916290991653,0.5655207248016507
雾霾7,SAC Single-Teacher,7,23.483346121651785,3.490602168544657,3.405876740627715,0.39011239230745215
雾霾7,Proposed: Dual-Teacher Distill + QAT Student,7,22.584298270089285,3.58631403639296,3.2788120202490396,0.3301597795708656
黑夜7,Input,7,21.679425920758927,19.18617301029468,4.160806977323874,0.6146545064432761
黑夜7,Global HE,7,46.717320033482146,17.429750294590672,3.8525809616448585,0.730492264402242
黑夜7,Fixed CLAHE (CL=2.0),7,14.806867327008929,6.746086083300343,3.586878221334321,0.38568394971635434
黑夜7,Rule-based Adaptive CLAHE,7,40.50388881138393,12.375054421515639,3.904055869293779,0.4624428200394048
黑夜7,Adaptive Gamma Correction,7,18.816685267857142,10.70263826093349,3.687720065017015,0.3841354228794462
黑夜7,MSR Retinex,7,32.675301688058035,18.797358622147826,3.6631448073965194,0.46072260083819944
黑夜7,SAC Single-Teacher,7,12.263575962611608,8.681534932201336,3.6269474152295116,0.3442670638027237
黑夜7,Proposed: Dual-Teacher Distill + QAT Student,7,12.887102399553571,7.927478812612982,3.5790254620014537,0.3206842722773362
